id,상품명,브랜드,품번,성별,이미지_URL,현재_가격,평균_키,평균_몸무게,구매사이트,부위,스타일
600,우먼즈 웨이스트밴들리스 와이드 슬랙스 [미디엄 그레이],무신사 스탠다드 우먼,MWAPS107-MR,여,https://image.msscdn.net/thumbnails/images/goods_img/20211119/2240942/2240942_1_big.jpg?w=1200,35590,163,53,https://www.musinsa.com/products/2240942,하의,미니멀
601,헤비웨이트 속기모 테이퍼드 히든 밴딩 10부 슬랙스 [차콜 그레이],무신사 스탠다드,MMJPS601-CG,남,https://image.msscdn.net/thumbnails/images/goods_img/20201030/1670230/1670230_16722979024191_big.jpg?w=1200,39490,177,70,https://www.musinsa.com/products/1670230,하의,미니멀
602,리플렉트 커브드 팬츠 [워시드 브라운],밀로 아카이브,ML163WR,남,https://image.msscdn.net/thumbnails/images/goods_img/20230802/3442331/3442331_16934661824451_big.jpg?w=1200,69000,176,68,https://www.musinsa.com/products/3442331,하의,스트릿
603,HBT STRIPE TROUSERS (CHARCOAL),다이브인,DIVPT002CH,남,https://image.msscdn.net/thumbnails/images/goods_img/20240917/4441703/4441703_17321705576610_big.jpg?w=1200,89000,174,66,https://www.musinsa.com/products/4441703,하의,스트릿
604,리플렉트 커브드 팬츠 [미드 블루],밀로 아카이브,ML163MB,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230430/3269847/3269847_16831216694912_big.jpg?w=1200,69000,178,70,https://www.musinsa.com/products/3269847,하의,스트릿
605,빅 브러쉬 엑스트라 와이드 데님 팬츠 [러스티 블랙],무신사 스탠다드,MMDNP122-SL,남,https://image.msscdn.net/thumbnails/images/goods_img/20240208/3859520/3859520_17297462396501_big.jpg?w=1200,51190,180,76,https://www.musinsa.com/products/3859520,하의,스트릿
606,리플렉트 커브드 팬츠 [오프 화이트],밀로 아카이브,ML163OW,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230210/3076308/3076308_16762673426640_big.jpg?w=1200,69000,175,66,https://www.musinsa.com/products/3076308,하의,스트릿
607,[S사이즈 추가] 웨이비 커브드 와이드 데님 팬츠 [BLACK],아워데이즈,ODDN4103BK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240115/3794792/3794792_17055462440206_big.jpg?w=1200,49600,172,66,https://www.musinsa.com/products/3794792,하의,스트릿
608,Curved Dirty Wash Bootscut Denim Pants - Black,낫포너드,PT086BK,공용,https://image.msscdn.net/thumbnails/images/goods_img/20231006/3609052/3609052_16984081296976_big.jpg?w=1200,69000,173,69,https://www.musinsa.com/products/3609052,하의,스트릿
609,Cargo wide 03 - thunder black [WIDE FIT],오더아카이브,OP00ACDP120BK,남,https://image.msscdn.net/thumbnails/images/goods_img/20230817/3472754/3472754_16933565360035_big.jpg?w=1200,82000,171,65,https://www.musinsa.com/products/3472754,하의,스트릿
610,Ethnic White / Semi Wide,피스워커,FPRSDDW615M,남,https://image.msscdn.net/thumbnails/images/goods_img/20230130/3045554/3045554_16774651114645_big.jpg?w=1200,35600,169,72,https://www.musinsa.com/products/3045554,하의,스트릿
611,[유튜버 니들 착용]빈티지 커브드 데님 팬츠-빈티지 옐로우,필루미네이트,3244DP400330,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240911/4430675/4430675_17273644071654_big.jpg?w=1200,39900,169,63,https://www.musinsa.com/products/4430675,하의,스트릿
